productId:ID(Product),ProductName,SupplierID,CategoryID,QuantityPerUnit,UnitPrice,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued,CategoryName,SupplierName,labels:LABEL
67,Arlo Smart Doorbell Plus,11,4,1 starter kit,5087.88,720,64,32,0,Smart Doorbell,Arlo,Product
75,Belkin Wemo Smart Doorbell Standard,15,4,1 starter kit,4071.78,705,1,15,0,Smart Doorbell,Belkin Wemo,Product
82,Apple Home Smart Doorbell Essential,3,4,2 units per pack,4709.51,779,37,13,0,Smart Doorbell,Apple Home,Product
84,Eufy Smart Doorbell Plus,13,4,1 set per box,4729.24,144,28,65,0,Smart Doorbell,Eufy,Product
25,Samsung SmartThings Smart Camera Essential,4,5,1 device with accessories,1409.8,553,149,85,0,Smart Camera,Samsung SmartThings,Product
47,Arlo Smart Camera Mini,11,5,1 bundle,8057.51,994,119,75,0,Smart Camera,Arlo,Product
65,Honeywell Home Smart Camera Mini,8,5,1 device with accessories,4384.84,528,67,93,0,Smart Camera,Honeywell Home,Product
73,Arlo Smart Camera Ultra,11,5,1 starter kit,4549.24,864,177,14,0,Smart Camera,Arlo,Product
78,Ecobee Smart Camera Pro,9,5,1 device with accessories,5128.91,642,94,38,0,Smart Camera,Ecobee,Product
79,Ring Smart Camera Premium,10,5,1 set per box,8967.91,61,127,60,0,Smart Camera,Ring,Product
1,Philips Hue Smart Lock Max,7,6,1 device with accessories,5672.5,615,34,17,0,Smart Lock,Philips Hue,Product
14,LG Electronics Smart Lock Indoor,5,6,1 starter kit,2229.81,19,108,28,0,Smart Lock,LG Electronics,Product
18,Arlo Smart Lock Ultra,11,6,1 replacement unit,5828.32,633,27,93,0,Smart Lock,Arlo,Product
30,GE Appliances Smart Lock Standard,6,6,1 replacement unit,8350.62,356,102,67,0,Smart Lock,GE Appliances,Product
46,Ring Smart Lock Ultra,10,6,4-pack,6269.37,306,137,89,0,Smart Lock,Ring,Product
64,Google Nest Smart Lock Pro,2,6,1 replacement unit,942.81,351,130,14,0,Smart Lock,Google Nest,Product
6,GE Appliances Smart Plug Essential,6,7,1 bundle,260.89,154,93,88,0,Smart Plug,GE Appliances,Product
31,TP-Link Kasa Smart Plug Plus,14,7,2 units per pack,7017.13,490,32,40,1,Smart Plug,TP-Link Kasa,Product
39,Eufy Smart Plug Standard,13,7,1 replacement unit,631.13,952,157,32,0,Smart Plug,Eufy,Product
45,Belkin Wemo Smart Plug Plus,15,7,1 replacement unit,5327.56,503,31,29,0,Smart Plug,Belkin Wemo,Product
57,Eufy Smart Plug Pro,13,7,2 units per pack,719.91,261,133,43,0,Smart Plug,Eufy,Product
59,Ring Smart Plug Pro,10,7,1 bundle,6854.65,685,73,76,0,Smart Plug,Ring,Product
70,Honeywell Home Smart Plug Essential,8,7,1 unit per box,3676.21,735,123,87,0,Smart Plug,Honeywell Home,Product
98,Ring Smart Plug Indoor,10,7,4-pack,1680.82,162,64,85,0,Smart Plug,Ring,Product
5,TP-Link Kasa Smart Lighting Mini,14,8,1 bundle,4393.9,919,184,36,0,Smart Lighting,TP-Link Kasa,Product
13,Google Nest Smart Lighting Plus,2,8,1 set per box,9132.54,872,65,19,0,Smart Lighting,Google Nest,Product
28,Samsung SmartThings Smart Lighting Standard,4,8,4-pack,612.27,629,197,86,0,Smart Lighting,Samsung SmartThings,Product
37,Google Nest Smart Lighting Mini,2,8,1 set per box,2956.67,482,67,37,0,Smart Lighting,Google Nest,Product
76,Arlo Smart Lighting Outdoor,11,8,1 starter kit,9577.73,86,84,63,0,Smart Lighting,Arlo,Product
91,Ring Smart Lighting Premium,10,8,3-pack,6457.22,383,32,96,0,Smart Lighting,Ring,Product
96,Amazon Devices Smart Lighting Indoor,1,8,6-pack,1219.2,577,150,31,0,Smart Lighting,Amazon Devices,Product
21,Philips Hue Robot Vacuum Ultra,7,9,6-pack,6983.6,301,114,66,0,Robot Vacuum,Philips Hue,Product
24,Ring Robot Vacuum Standard,10,9,1 starter kit,7529.74,669,110,81,0,Robot Vacuum,Ring,Product
36,Arlo Robot Vacuum Mini,11,9,1 replacement unit,275.83,172,184,44,0,Robot Vacuum,Arlo,Product
94,GE Appliances Robot Vacuum Standard,6,9,1 unit per box,9508.27,842,179,42,0,Robot Vacuum,GE Appliances,Product
26,Philips Hue Air Purifier Plus,7,10,6-pack,4810.23,777,4,87,0,Air Purifier,Philips Hue,Product
35,TP-Link Kasa Air Purifier Max,14,10,1 device with accessories,5418.72,173,187,83,0,Air Purifier,TP-Link Kasa,Product
48,Samsung SmartThings Air Purifier Indoor,4,10,1 device with accessories,7652.12,596,193,27,0,Air Purifier,Samsung SmartThings,Product
69,Honeywell Home Air Purifier Indoor,8,10,1 bundle,1967.39,719,97,87,0,Air Purifier,Honeywell Home,Product
81,Amazon Devices Air Purifier Outdoor,1,10,1 bundle,2059.42,867,68,28,0,Air Purifier,Amazon Devices,Product
100,Belkin Wemo Air Purifier Mini,15,10,4-pack,404.97,18,176,87,0,Air Purifier,Belkin Wemo,Product
16,Belkin Wemo Security System Pro,15,11,1 replacement unit,1143.38,673,138,12,1,Security System,Belkin Wemo,Product
29,Honeywell Home Security System Pro,8,11,1 starter kit,515.38,299,42,90,0,Security System,Honeywell Home,Product
72,TP-Link Kasa Security System Standard,14,11,6-pack,9860.1,113,67,40,0,Security System,TP-Link Kasa,Product
86,Ring Security System Premium,10,11,1 replacement unit,5222.07,943,53,60,0,Security System,Ring,Product
9,Philips Hue Streaming Device Essential,7,12,6-pack,9286.38,465,89,78,0,Streaming Device,Philips Hue,Product
17,Honeywell Home Streaming Device Premium,8,12,1 bundle,1003.99,644,197,40,0,Streaming Device,Honeywell Home,Product
19,Wyze Streaming Device Outdoor,12,12,1 set per box,6992.04,847,157,79,1,Streaming Device,Wyze,Product
56,LG Electronics Streaming Device Outdoor,5,12,1 device with accessories,8144.74,502,183,80,0,Streaming Device,LG Electronics,Product
80,Ring Streaming Device Mini,10,12,1 device with accessories,8109.91,768,158,74,0,Streaming Device,Ring,Product
83,GE Appliances Streaming Device Indoor,6,12,3-pack,9685.12,984,55,92,0,Streaming Device,GE Appliances,Product
10,Apple Home Smart TV Premium,3,13,1 starter kit,2854.51,236,164,49,0,Smart TV,Apple Home,Product
22,Google Nest Smart TV Pro,2,13,3-pack,4090.62,733,27,35,0,Smart TV,Google Nest,Product
34,Arlo Smart TV Plus,11,13,1 starter kit,2893.75,464,60,69,0,Smart TV,Arlo,Product
62,Belkin Wemo Smart TV Pro,15,13,1 unit per box,5158.06,114,72,78,0,Smart TV,Belkin Wemo,Product
74,Ecobee Smart TV Ultra,9,13,6-pack,1705.47,157,178,59,0,Smart TV,Ecobee,Product
88,Samsung SmartThings Smart TV Ultra,4,13,1 device with accessories,5539.41,876,77,54,0,Smart TV,Samsung SmartThings,Product
4,Ecobee Home Hub Max,9,14,6-pack,3626.85,2,29,34,0,Home Hub,Ecobee,Product
12,Honeywell Home Home Hub Indoor,8,14,1 replacement unit,1806.41,835,27,70,0,Home Hub,Honeywell Home,Product
20,Arlo Home Hub Max,11,14,1 device with accessories,6745.18,729,127,40,1,Home Hub,Arlo,Product
32,LG Electronics Home Hub Ultra,5,14,2 units per pack,8405.37,474,89,94,0,Home Hub,LG Electronics,Product
41,Wyze Home Hub Outdoor,12,14,4-pack,3814.35,378,191,80,0,Home Hub,Wyze,Product
54,Ecobee Home Hub Outdoor,9,14,1 replacement unit,5078.09,319,153,92,0,Home Hub,Ecobee,Product
89,Ring Home Hub Pro,10,14,1 starter kit,4195.92,962,102,26,0,Home Hub,Ring,Product
99,Ecobee Home Hub Ultra,9,14,1 device with accessories,961.07,630,13,18,0,Home Hub,Ecobee,Product
2,Samsung SmartThings Smart Sensor Plus,4,15,1 set per box,873.65,124,69,96,0,Smart Sensor,Samsung SmartThings,Product
3,Arlo Smart Sensor Indoor,11,15,1 bundle,3454.07,233,106,71,0,Smart Sensor,Arlo,Product
