ProductID,ProductName,SupplierID,CategoryID,QuantityPerUnit,UnitPrice,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued,CategoryName,SupplierName
81,Amazon Devices Air Purifier Outdoor,1,10,1 bundle,2059.42,867,68,28,0,Air Purifier,Amazon Devices
100,Belkin Wemo Air Purifier Mini,15,10,4-pack,404.97,18,176,87,0,Air Purifier,Belkin Wemo
16,Belkin Wemo Security System Pro,15,11,1 replacement unit,1143.38,673,138,12,1,Security System,Belkin Wemo
29,Honeywell Home Security System Pro,8,11,1 starter kit,515.38,299,42,90,0,Security System,Honeywell Home
72,TP-Link Kasa Security System Standard,14,11,6-pack,9860.1,113,67,40,0,Security System,TP-Link Kasa
86,Ring Security System Premium,10,11,1 replacement unit,5222.07,943,53,60,0,Security System,Ring
9,Philips Hue Streaming Device Essential,7,12,6-pack,9286.38,465,89,78,0,Streaming Device,Philips Hue
17,Honeywell Home Streaming Device Premium,8,12,1 bundle,1003.99,644,197,40,0,Streaming Device,Honeywell Home
19,Wyze Streaming Device Outdoor,12,12,1 set per box,6992.04,847,157,79,1,Streaming Device,Wyze
56,LG Electronics Streaming Device Outdoor,5,12,1 device with accessories,8144.74,502,183,80,0,Streaming Device,LG Electronics
80,Ring Streaming Device Mini,10,12,1 device with accessories,8109.91,768,158,74,0,Streaming Device,Ring
83,GE Appliances Streaming Device Indoor,6,12,3-pack,9685.12,984,55,92,0,Streaming Device,GE Appliances
10,Apple Home Smart TV Premium,3,13,1 starter kit,2854.51,236,164,49,0,Smart TV,Apple Home
22,Google Nest Smart TV Pro,2,13,3-pack,4090.62,733,27,35,0,Smart TV,Google Nest
34,Arlo Smart TV Plus,11,13,1 starter kit,2893.75,464,60,69,0,Smart TV,Arlo
62,Belkin Wemo Smart TV Pro,15,13,1 unit per box,5158.06,114,72,78,0,Smart TV,Belkin Wemo
74,Ecobee Smart TV Ultra,9,13,6-pack,1705.47,157,178,59,0,Smart TV,Ecobee
88,Samsung SmartThings Smart TV Ultra,4,13,1 device with accessories,5539.41,876,77,54,0,Smart TV,Samsung SmartThings
4,Ecobee Home Hub Max,9,14,6-pack,3626.85,2,29,34,0,Home Hub,Ecobee
12,Honeywell Home Home Hub Indoor,8,14,1 replacement unit,1806.41,835,27,70,0,Home Hub,Honeywell Home
20,Arlo Home Hub Max,11,14,1 device with accessories,6745.18,729,127,40,1,Home Hub,Arlo
32,LG Electronics Home Hub Ultra,5,14,2 units per pack,8405.37,474,89,94,0,Home Hub,LG Electronics
41,Wyze Home Hub Outdoor,12,14,4-pack,3814.35,378,191,80,0,Home Hub,Wyze
54,Ecobee Home Hub Outdoor,9,14,1 replacement unit,5078.09,319,153,92,0,Home Hub,Ecobee
89,Ring Home Hub Pro,10,14,1 starter kit,4195.92,962,102,26,0,Home Hub,Ring
99,Ecobee Home Hub Ultra,9,14,1 device with accessories,961.07,630,13,18,0,Home Hub,Ecobee
2,Samsung SmartThings Smart Sensor Plus,4,15,1 set per box,873.65,124,69,96,0,Smart Sensor,Samsung SmartThings
3,Arlo Smart Sensor Indoor,11,15,1 bundle,3454.07,233,106,71,0,Smart Sensor,Arlo
